ID;ФИО;Дата рождения;Семейное положение;Дети;Отдел;Должность;Рабочий стаж (лет);Наличие правонарушений/ судимостей;Наличие выговоров по трудовой дисциплине;Трудовые заслуги;Образование;Дополнительная квалификация;Исполнительность/ дисциплинированность;Коммуникабельность;Стрессоустойчивость;Лидерство;Порядочность/ честность;Энергичность;Кандидат на увольнение
244;Дорофеева Уля Георгиевна;10.04.1995;разведена;есть дети;Отдел эксплуатации автоматизированных систем коммерческого учета электроэнергии (ОЭ АСКУЭ);Мастер участка службы подстанций;22;Нет;Нет;Нет;высшее образование - бакалавриат;Да;8;5;7;3;8;5;0
245;Пестова Татьяна Георгьевна;27.09.1975;замужем;;Южный участок;Инженер-электрик;5;Да;Да;Нет;высшее образование - бакалавриат;Нет;5;2;6;0;4;4;1
246;Рогова Розалия Филипповна;28.10.1986;разведена;есть дети;Смоленский городской участок (СГУ);Инженер ПТО;2;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;4;4;10;3;10;5;0
247;Евсеева Анита Мэлоровна;10.01.1974;не замужем;есть дети;Отдел эксплуатации телекоммуникаций (ОЭ ТК);Электромонтер по испытаниям и измерениям;15;Нет;Нет;Нет;среднее профессиональное образование;Нет;2;3;9;2;8;3;0
248;Лапина Дебора Парфеньевна;28.01.1982;разведена;;Восточный участок;Инженер охраны труда;17;Нет;Да;Нет;высшее образование - бакалавриат;Нет;7;7;2;8;4;6;1
249;Афанасьева Лиана Дмитрьевна;05.01.1997;замужем;есть дети;Отдел эксплуатации телекоммуникаций (ОЭ ТК);Электромонтер оперативно-выездной бригады ;9;Нет;Нет;Да;среднее профессиональное образование;Нет;3;4;8;0;3;0;0
250;Зимина Беатриса Антоновна;12.03.1998;не замужем;есть дети;Западный участок;Специалист по охране труда;3;Нет;Нет;Нет;среднее профессиональное образование;Нет;4;4;4;5;2;3;1
251;Карпова Нонна Кимовна;03.02.1961;замужем;;Управление корпоративных и технологических автоматизированных систем управления (УКиТ АСУ);Инженер отдела эксплуатации и развития систем учета;15;Нет;Нет;Нет;высшее образование - бакалавриат;Да;6;4;1;0;10;3;0
252;Чернова Фрида Пётровна;19.01.1987;разведена;есть дети;Отдел эксплуатации автоматизированных систем коммерческого учета электроэнергии (ОЭ АСКУЭ);Электромонтер оперативно-выездной бригады ;6;Нет;Нет;Да;среднее профессиональное образование;Да;2;5;5;1;3;9;0
253;Александрова Иоанна Григорьевна;14.07.1986;не замужем;есть дети;Отдел эксплуатации телекоммуникаций (ОЭ ТК);Мастер бригады РЭС;17;Нет;Нет;Нет;среднее профессиональное образование;Нет;0;3;9;10;8;6;0
254;Дроздова Илена Геннадиевна;20.10.1998;замужем;есть дети;Западный участок;Инженер-электрик;14;Да;Нет;Да;высшее образование - бакалавриат;Да;8;9;8;8;8;6;0
255;Филиппова Анисья Якововна;17.03.1977;не замужем;;Управление корпоративных и технологических автоматизированных систем управления (УКиТ АСУ);Диспетчер оперативно-технологической группы;21;Нет;Нет;Нет;среднее профессиональное образование;Нет;7;1;2;10;10;1;0
256;Игнатова Ульна Вадимовна;02.11.1985;замужем;;Восточный участок;Инженер ПТО;5;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;5;6;9;4;7;0;0
257;Щукина Лира Борисовна;11.10.1992;разведена;;Южный участок;Специалист по охране труда;9;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;5;9;7;1;1;7;0
258;Панова Женевьева Максовна;19.06.1976;разведена;есть дети;Смоленский городской участок (СГУ);Инженер охраны труда;13;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;2;1;5;0;9;1;0
259;Лебедев Нестор Вадимович;03.12.1966;холост;есть дети;Отдел эксплуатации ИТ (ОЭ ИТ);Технический IT-специалист;7;Нет;Нет;Нет;среднее профессиональное образование;Нет;6;3;5;9;7;3;0
260;Филиппов Цицерон Иванович;03.04.1994;холост;;Управление корпоративных и технологических автоматизированных систем управления (УКиТ АСУ);Инженер отдела эксплуатации и развития систем учета;22;Нет;Да;Нет;среднее профессиональное образование;Нет;1;10;4;5;3;6;0
261;Беляев Тимофей Романович;04.08.1975;женат;;Отдел безопасности;Специалист по ИБ;15;Нет;Нет;Нет;высшее образование - специалитет магистратура;Нет;4;1;2;10;0;5;0
262;Федункив Владлен Андреевич;26.11.1962;холост;;Центральный участок;Техник отдела маркетинга и взаимодействия с клиентами;3;Нет;Нет;Нет;среднее профессиональное образование;Нет;10;1;3;10;10;0;0
263;Шаров Ленар Эдуардович;12.01.1986;женат;;Отдел эксплуатации автоматизированных систем коммерческого учета электроэнергии (ОЭ АСКУЭ);Электромонтер по эксплуатации РС;1;Нет;Нет;Нет;среднее профессиональное образование;Нет;10;5;8;7;0;0;0
264;Сасько Лука Эдуардович;26.03.1975;разведен;есть дети;Отдел безопасности;Инженер управления производственной безопасности и производственного контроля;22;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;1;0;5;0;3;0;0
265;Цушко Лукьян Данилович;19.05.1967;разведен;есть дети;Отдел эксплуатации автоматизированных систем коммерческого учета электроэнергии (ОЭ АСКУЭ);Электромонтер оперативно-выездной бригады ;7;Нет;Нет;Да;среднее профессиональное образование;Нет;2;10;6;10;0;2;0
266;Миронов Максим Владимирович;02.02.1990;холост;есть дети;Западный участок;Специалист Центра обслуживания потребителей;13;Нет;Нет;Нет;среднее профессиональное образование;Да;3;7;6;5;2;5;0
267;Голубев Геннадий Леонидович;22.01.1967;женат;;Управление корпоративных и технологических автоматизированных систем управления (УКиТ АСУ);Инженер по релейной защите и автоматике (РЗА);9;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;4;6;7;1;8;0;0
268;Котов Устин Львович;06.02.1987;холост;;Отдел безопасности;Специалист по ИБ;21;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;7;2;5;4;5;0;0
269;Грабчак Фёдор Анатолиевич;05.01.1964;разведен;есть дети;Отдел эксплуатации ИТ (ОЭ ИТ);ИТ-специалист;8;Нет;Нет;Нет;высшее образование - специалитет магистратура;Нет;1;3;3;1;10;7;0
270;Баранов Евдоким Данилович;12.07.1980;холост;;Смоленский городской участок (СГУ);Инженер отдела эксплуатации и развития систем учета;1;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;0;6;7;0;7;8;0
271;Гребневский Чарльз Иванович;22.03.1990;разведен;;Управление корпоративных и технологических автоматизированных систем управления (УКиТ АСУ);Инженер отдела эксплуатации и развития систем учета;13;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;10;7;2;4;1;2;0
272;Бондаренко Глеб Артёмович;22.03.1967;женат;;Восточный участок;Инженер отдела эксплуатации и развития систем учета;3;Нет;Нет;Нет;высшее образование - бакалавриат;Да;3;1;7;7;4;4;0
273;Матвеев Людовик Дмитриевич;26.03.1962;холост;;Восточный участок;Электромонтер по эксплуатации РС;8;Нет;Нет;Нет;среднее профессиональное образование;Нет;3;0;8;4;7;3;0
274;Кузьмин Чеслав Станиславович;17.11.1993;женат;;Отдел эксплуатации ИТ (ОЭ ИТ);Технический IT-специалист;3;Да;Нет;Нет;среднее профессиональное образование;Нет;5;9;7;6;1;1;1
275;Острожский Жерар Ярославович;24.10.1973;разведен;есть дети;Смоленский городской участок (СГУ);Электромонтер по эксплуатации электросчетчиков;22;Нет;Нет;Нет;среднее профессиональное образование;Нет;7;9;10;10;2;7;0
276;Гуляев Болеслав Дмитриевич;13.03.1990;холост;есть дети;Западный участок;Инженер-электрик;18;Да;Нет;Нет;высшее образование - бакалавриат;Нет;10;1;10;6;5;2;1
277;Кобзар Цезарь Ярославович;09.08.1991;женат;;Управление корпоративных и технологических автоматизированных систем управления (УКиТ АСУ);Диспетчер оперативно-технологической группы;24;Да;Нет;Нет;среднее профессиональное образование;Нет;0;6;3;6;6;0;0
278;Константинов Марат Платонович;08.09.1958;разведен;;Отдел эксплуатации автоматизированных систем коммерческого учета электроэнергии (ОЭ АСКУЭ);Электромонтер оперативно-выездной бригады ;1;Нет;Нет;Нет;среднее профессиональное образование;Нет;9;9;3;2;3;4;0
279;Николаев Шамиль Александрович;11.10.1987;холост;есть дети;Отдел эксплуатации телекоммуникаций (ОЭ ТК);Электромонтер оперативно-выездной бригады ;2;Нет;Нет;Нет;среднее профессиональное образование;Нет;4;8;5;6;5;0;0
280;Герасимов Шамиль Валериевич;20.04.1966;женат;есть дети;Отдел эксплуатации автоматизированных систем коммерческого учета электроэнергии (ОЭ АСКУЭ);Мастер участка службы подстанций;2;Нет;Нет;Да;высшее образование - бакалавриат;Нет;4;3;5;2;4;4;1
281;Савин Назар Богданович;18.04.1970;холост;;Центральный участок;Инженер-электрик;3;Да;Нет;Нет;высшее образование - бакалавриат;Нет;9;10;1;8;6;0;1
282;Гущин Зураб Артёмович;21.04.1995;разведен;;Отдел эксплуатации автоматизированных систем диспетчерского управления (ОЭ АСДУ);Электромонтер по эксплуатации распределительных сетей;16;Нет;Нет;Нет;среднее профессиональное образование;Нет;1;8;4;7;1;8;0
283;Андрухович Йонас Александрович;27.05.1976;женат;есть дети;Отдел эксплуатации автоматизированных систем диспетчерского управления (ОЭ АСДУ);Электромонтер по обслуживанию подстанции;1;Нет;Нет;Нет;среднее профессиональное образование;Нет;4;8;7;10;0;5;0
284;Палий Шарль Владимирович;09.12.1982;холост есть дети;есть дети;Отдел эксплуатации автоматизированных систем коммерческого учета электроэнергии (ОЭ АСКУЭ);Электромонтер по обслуживанию подстанции;16;Нет;Нет;Нет;среднее профессиональное образование;Нет;5;7;2;3;9;4;0
285;Терещенко Карен Станиславович;24.07.1991;женат;;Восточный участок;Инженер-электрик;7;Нет;Да;Нет;высшее образование - бакалавриат;Нет;3;0;2;1;6;4;1
286;Коровяк Лукиллиан Валериевич;06.08.1989;разведен;;Отдел эксплуатации автоматизированных систем коммерческого учета электроэнергии (ОЭ АСКУЭ);Электромонтер оперативно-выездной бригады ;20;Нет;Нет;Нет;среднее профессиональное образование;Нет;9;7;10;3;8;9;1
287;Панов Шамиль Юхимович;14.12.1976;женат;есть дети;Отдел эксплуатации телекоммуникаций (ОЭ ТК);Электромонтер по испытаниям и измерениям;2;Нет;Нет;Нет;среднее профессиональное образование;Нет;6;10;8;0;8;5;0
288;Кузнецов Эдуард Эдуардович;08.09.1976;холост;;Отдел эксплуатации автоматизированных систем диспетчерского управления (ОЭ АСДУ);Электромонтер по ремонту воздушных линий электропередачи;21;Нет;Нет;Нет;среднее профессиональное образование;Нет;8;4;2;3;1;6;1
289;Кузнецов Йонас Юхимович;28.07.1957;женат;;Смоленский городской участок (СГУ);Мастер бригады РЭС;9;Нет;Нет;Нет;среднее профессиональное образование;Нет;1;10;6;2;3;10;0
290;Вишняков Дарий Борисович;09.06.1984;холост;;Южный участок;Электромонтер по эксплуатации РС;4;Нет;Нет;Нет;среднее профессиональное образование;Нет;6;2;3;7;10;8;0
291;Плаксий Борис Анатолиевич;15.01.1964;разведен;есть дети;Отдел эксплуатации телекоммуникаций (ОЭ ТК);Инженер 1 категории управления технологического развития и цифровизации;10;Нет;Нет;Да;высшее образование - специалитет магистратура;Да;9;1;10;6;1;0;0
292;Цушко Юлиан Данилович;10.01.1961;холост;есть дети;Отдел эксплуатации телекоммуникаций (ОЭ ТК);Электромонтер оперативно-выездной бригады ;23;Нет;Нет;Да;среднее профессиональное образование;Нет;9;7;10;10;6;9;0
293;Кличко Жерар Григорьевич;06.11.1988;женат;;Отдел эксплуатации автоматизированных систем коммерческого учета электроэнергии (ОЭ АСКУЭ);Электромонтер по эксплуатации электросчетчиков;6;Нет;Нет;Нет;среднее профессиональное образование;Нет;7;0;10;3;4;7;0
294;Блохин Юрий Ярославович;01.09.1992;холост;;Отдел эксплуатации ИТ (ОЭ ИТ);Технический IT-специалист;19;Нет;Нет;Нет;среднее профессиональное образование;Нет;1;6;7;2;4;8;0
295;Соловьёв Никита Валериевич;25.01.1974;холост;;Управление корпоративных и технологических автоматизированных систем управления (УКиТ АСУ);Инженер отдела эксплуатации и развития систем учета;10;Нет;Нет;Нет;высшее образование - бакалавриат;Нет;9;8;5;5;6;5;0
296;Кулишенко Йоган Петрович;19.02.1960;женат;;Управление корпоративных и технологических автоматизированных систем управления (УКиТ АСУ);Электрослесарь по ремонту оборудования распределительных устройств;5;Нет;Нет;Нет;среднее профессиональное образование;Нет;2;2;6;2;5;10;0
297;Белов Евстахий Алексеевич;11.07.1971;женат;;Отдел эксплуатации автоматизированных систем коммерческого учета электроэнергии (ОЭ АСКУЭ);Электромонтер оперативно-выездной бригады ;5;Нет;Нет;Да;среднее профессиональное образование;Нет;10;9;8;9;6;0;0
298;Филатов Фёдор Леонидович;10.02.1988;холост;есть дети;Восточный участок;Инженер-электрик;8;Да;Нет;Нет;среднее профессиональное образование;Нет;4;9;6;9;2;1;1
299;Сергеев Прохор Александрович;10.11.1964;женат;есть дети;Отдел эксплуатации автоматизированных систем коммерческого учета электроэнергии (ОЭ АСКУЭ);Электромонтер оперативно-выездной бригады ;7;Нет;Нет;Нет;среднее профессиональное образование;Да;0;8;4;4;7;5;0
300;Горшков Тимофей Романович;26.02.1963;женат;;Отдел эксплуатации автоматизированных систем коммерческого учета электроэнергии (ОЭ АСКУЭ);Мастер участка службы подстанций;19;Нет;Нет;Да;высшее образование - бакалавриат;Да;6;5;8;3;1;5;0
